Price,Quantity
6.19,10
6.19,20
6.19,10
6.13,1
6.19,10
5.97,100
6.19,50
7.24,3
6.19,20
6.13,10
6.04,100
6.19,2
6.13,2
6.04,100
7.24,1
6.19,2
6.13,10
6.19,4
6.19,20
6.13,20
7.24,3
6.19,10
7.24,3
6.19,3
7.24,4
6.13,1
7.29,1
6.19,4
6.13,30
6.19,10
6.13,10
6.13,10
7.24,2
6.19,1
6.04,100
7.24,2
6.13,10
6.19,10
6.19,10
7.24,5
7.24,4
6.13,13
6.19,5
6.19,10
6.13,20
7.24,2
7.24,2
7.24,3
6.19,10
6.19,10
6.04,100
6.19,50
6.04,100
5.97,100
6.13,10
6.13,2
6.19,1
6.19,3
6.19,20
6.13,1
6.19,10
6.19,2
6.19,10
6.19,5
7.24,1
6.19,10
6.19,2
7.24,5
6.13,10
6.19,30
6.19,2
7.29,1
6.19,1
6.19,10
6.13,3
7.24,1
7.24,1
6.13,6
6.19,20
6.19,20
6.19,10
7.24,1
6.19,10
6.19,20
6.19,10
6.19,10
6.19,3
7.24,2
6.19,30
7.24,2
6.13,30
6.19,2
6.19,10
7.24,2
6.19,10
5.97,200
6.19,10
6.19,10
6.19,10
6.19,10
6.13,10
6.19,2
6.19,10
6.19,10
6.19,10
6.19,10
6.19,1
6.19,6
6.19,10
6.04,10
6.19,10
6.19,10
6.13,30
6.13,10
7.24,1
6.13,10
6.13,20
6.13,10
7.24,4
6.13,100
6.19,10
6.19,10
6.13,20
6.19,10
6.19,10
6.19,2
6.19,20
7.29,11
6.19,10
6.04,50
5.97,100
7.24,2
6.19,4
6.13,10
7.24,2
6.19,4
6.19,10
6.04,10
7.24,1
6.19,2
6.19,10
6.19,20
6.13,10
6.19,10
7.24,1
6.19,5
7.24,6
6.13,10
6.04,200
7.24,3
6.04,100
6.19,20
7.24,2
7.24,1
6.19,10
7.24,2
7.24,4
7.24,3
7.24,1
6.19,1
6.13,10
6.19,10
6.13,5
6.04,100
6.19,10
6.19,10
6.19,3
7.24,3
6.19,4
7.24,3
6.19,2
6.19,2
6.19,10
7.24,3
6.19,10
6.19,3
7.24,5
6.19,10
6.19,10
6.19,10
6.19,3
6.19,3
6.19,10
6.19,10
6.19,4
6.19,10
7.24,1
6.13,10
6.19,2
6.19,10
7.24,3
6.19,3
6.13,1
6.13,2
6.19,10
6.19,10
6.19,10
5.97,100
6.19,10
6.19,10
7.24,3
6.19,4
6.04,100
6.13,20
6.19,10
6.04,100
7.24,3
6.19,10
6.19,20
6.19,10
6.13,14
7.24,1
6.19,2
6.19,1
6.04,270
6.19,2
6.19,10
6.13,10
6.19,20
6.19,20
6.04,1000
7.24,1
7.24,1
6.19,10
7.24,1
6.13,40
7.24,1
7.29,1
6.19,10
7.24,2
6.19,3
6.13,10
7.24,1
6.13,10
7.24,1
6.19,10
6.13,20
7.24,10
6.19,20
6.19,3
6.04,100
7.24,10
7.24,1
6.13,10
7.24,5
6.13,10
6.19,10
6.19,1
5.97,100
6.19,20
6.13,10
6.19,5
6.19,10
6.19,100
6.19,10
6.13,30
6.19,10
6.19,10
6.19,10
6.13,1
6.19,50
6.19,20
7.24,3
6.13,10
6.19,20
6.19,10
6.19,1
5.97,200
6.19,10
5.97,60
6.19,9
7.24,19
6.19,10
6.19,10
6.19,10
7.29,1
6.19,10
6.19,10
6.19,10
6.13,2
6.13,20
6.19,5
6.13,10
6.04,100
7.24,1
6.13,2
6.19,2
7.24,2
6.19,20
7.24,15
7.24,2
6.19,10
6.19,10
6.19,10
6.19,10
6.19,40
6.19,5
6.13,10
6.19,10
7.24,5
6.19,3
6.04,50
6.19,10
6.19,20
6.19,10
6.04,100
6.19,30
6.19,10
5.97,100
6.19,20
7.24,12
6.19,20
6.19,10
6.19,10
7.24,1
6.13,10
6.19,10
7.24,20
6.19,10
6.19,1
6.19,10
6.19,10
6.13,6
7.24,3
6.19,10
6.13,3
6.19,10
7.24,4
6.19,10
6.19,10
6.19,2
6.04,200
6.19,2
6.19,40
6.04,200
6.13,10
6.19,4
6.13,10
6.19,20
7.24,8
6.19,10
6.04,20
6.04,200
7.24,2
6.19,22
6.19,2
6.19,10
7.24,1
6.19,2
7.24,10
7.24,2
7.24,1
7.24,5
6.04,200
7.24,10
6.19,10
6.13,6
6.19,10
6.19,10
7.24,1
6.13,30
6.19,2
6.19,11
6.19,40
6.13,10
6.13,1
6.19,1
6.13,20
6.04,100
7.24,1
6.19,10
6.19,20
6.13,10
6.19,3
6.19,3
6.19,10
6.19,10
6.19,20
6.19,10
6.04,100
7.24,14
6.19,6
6.19,10
6.13,10
6.13,10
6.19,10
6.13,10
6.19,10
6.13,10
6.19,10
6.19,10
6.19,10
6.19,10
6.13,10
7.24,3
6.13,10
6.19,10
6.19,3
6.13,10
6.13,20
6.04,100
7.24,11
6.13,1
7.24,6
7.24,2
6.19,10
6.13,20
6.19,20
7.24,8
6.13,10
6.13,20
6.19,10
6.19,10
6.13,10
6.19,10
7.24,2
6.13,10
5.97,30
6.19,10
6.19,10
6.19,10
6.19,10
6.04,100
6.19,1
6.19,6
7.24,5
6.13,10
6.19,10
6.19,8
7.24,1
6.19,2
6.13,10
5.97,200
6.04,100
7.24,2
6.13,50
6.13,10
6.19,30
6.19,10
7.24,3
6.19,1
6.19,10
6.19,10
6.19,10
6.19,20
6.19,10
6.19,10
6.13,10
6.19,10
7.24,2
6.13,100
6.19,1
6.13,10
6.04,100
7.24,1
6.13,20
6.19,1
6.19,4
7.24,1
6.19,2
6.19,10
6.13,10
6.19,10
6.19,10
7.24,3
6.19,10
6.13,5
7.24,1
6.19,10
7.24,2
7.24,1
6.19,10
6.19,10
7.24,15
6.19,20
6.19,10
6.13,40
6.19,2
7.24,2
6.19,10
6.13,10
6.19,10
6.19,10
6.13,10
6.19,10
6.19,30
6.19,10
6.19,10
7.24,1
6.19,10
6.13,10
6.19,5
6.13,20
6.19,10
6.19,10
6.13,1
6.19,10
6.19,100
6.19,2
6.13,20
6.19,3
7.24,1
6.19,20
7.24,10
6.13,1
6.19,6
6.19,2
6.19,10
6.13,3
6.19,10
7.24,3
6.19,10
7.24,2
6.19,12
7.24,5
6.13,4
7.24,4
7.24,1
6.19,10
6.19,10
6.13,10
6.19,20
7.24,3
7.24,1
6.19,10
6.19,6
6.19,10
7.24,10
6.19,10
7.29,7
6.19,1
6.13,20
7.24,2
6.19,2
6.19,10
5.97,100
7.24,1
6.19,3
7.24,3
6.19,30
6.19,4
7.24,1
6.19,10
6.19,10
5.97,100
7.24,1
6.04,100
6.19,3
6.13,10
6.04,300
7.29,1
7.24,4
6.19,20
6.19,20
7.24,11
6.19,30
6.19,20
6.19,10
6.19,20
6.19,1
6.19,1
6.19,1
6.19,6
6.19,1
7.24,17
6.04,100
6.19,10
6.19,10
6.19,20
6.13,20
6.19,50
6.04,100
6.13,3
6.19,20
7.24,1
6.19,25
6.19,10
6.19,10
6.04,100
7.24,10
6.19,10
6.19,6
7.24,1
5.97,100
6.19,20
6.19,10
6.19,10
6.19,5
6.19,10
6.19,20
6.19,10
6.13,10
6.19,70
6.13,10
6.19,10
6.04,400
7.24,3
6.13,10
5.97,100
6.19,20
7.29,4
6.19,10
6.13,10
6.19,10
7.24,1
6.19,1
6.19,8
6.19,4
6.13,20
7.24,4
7.24,1
7.24,1
6.19,20
6.19,2
6.19,2
7.24,7
6.19,10
6.19,10
7.24,4
6.19,2
7.24,4
7.29,3
7.24,2
7.24,2
6.19,10
6.13,20
7.24,4
7.24,1
6.19,6
7.24,4
7.24,1
6.19,20
6.19,20
7.24,3
6.19,1
6.19,10
6.13,1
6.19,3
6.19,6
7.24,1
6.19,4
7.24,1
6.19,20
6.13,14
6.19,10
6.19,10
6.13,10
6.19,10
6.19,4
7.24,6
6.13,60
6.13,3
6.04,100
6.19,12
6.19,4
6.19,10
7.24,4
6.19,20
6.13,20
6.13,30
6.19,3
6.19,10
6.19,1
7.24,4
6.13,10
6.19,7
7.24,1
6.19,10
6.13,200
7.24,1
6.19,10
7.24,2
7.24,10
6.19,10
6.19,20
6.04,100
6.13,20
6.04,100
6.19,10
6.19,10
6.19,10
6.19,2
7.24,4
6.19,20
6.13,10
6.19,5
6.19,10
6.19,2
6.19,1
6.19,10
6.19,3
6.19,10
6.13,10
7.24,10
6.19,10
6.13,10
6.19,1
7.24,7
6.19,30
6.04,100
6.04,20
7.24,2
6.19,10
7.24,3
6.13,10
6.19,10
7.24,2
5.97,100
6.19,10
6.19,50
6.19,10
7.24,4
5.97,300
6.13,10
6.04,300
6.19,10
6.19,20
6.19,2
6.19,2
6.19,10
7.29,6
7.24,2
7.24,1
6.19,10
6.19,10
6.13,10
7.24,3
6.19,10
6.19,20
7.29,1
6.19,1
6.19,7
6.19,10
6.19,10
6.19,3
7.24,2
6.13,20
5.97,100
6.19,20
7.24,1
6.19,4
5.97,100
6.19,10
6.19,10
7.24,1
6.04,100
6.19,3
6.13,6
7.24,1
6.19,1
6.19,10
7.24,9
7.24,15
5.97,12
6.19,10
6.04,200
7.24,6
6.19,2
7.24,3
7.24,6
7.24,1
6.19,2
6.19,10
5.97,100
6.04,100
6.19,20
7.24,3
6.19,12
6.19,10
6.19,10
6.19,10
6.04,100
7.24,1
6.19,10
6.19,1
6.13,10
6.19,10
6.19,9
6.19,20
7.29,4
7.29,4
6.19,10
6.13,10
6.19,20
6.04,100
6.13,6
6.19,10
7.24,1
6.19,1
6.19,10
6.13,1
6.19,10
6.19,10
6.19,20
6.19,10
6.04,100
7.24,4
6.19,5
6.19,10
7.24,6
7.24,2
6.19,2
6.19,10
6.19,20
6.19,1
6.13,10
6.19,20
6.19,2
6.13,2
6.19,10
7.29,1
6.19,10
6.19,10
5.97,100
6.19,10
6.19,10
6.19,1
6.13,10
6.19,2
6.19,5
6.19,10
7.24,11
6.19,2
6.19,3
7.24,2
6.13,20
6.19,10
6.19,45
6.13,10
6.19,30
6.19,10
7.24,1
5.97,100
6.13,10
6.13,20
5.97,200
6.04,100
6.19,10
6.19,20
6.19,30
7.24,13
7.24,1
6.19,10
6.19,10
6.19,20
6.19,5
6.19,4
6.19,10
6.19,10
6.19,10
6.04,140
6.04,100
7.29,4
6.04,100
6.13,30
6.19,20
6.19,20
6.19,20
7.24,15
7.29,1
6.19,30
6.19,10
6.13,1
7.24,11
7.29,1
6.19,10
6.19,10
6.19,10
6.13,10
6.19,10
6.19,2
6.19,2
6.19,10
6.19,10
7.24,2
6.19,50
6.13,8
6.19,10
6.13,4
6.13,1
7.24,1
6.19,40
6.13,10
6.13,3
6.13,10
6.19,20
7.24,1
6.19,10
6.04,100
6.19,2
6.13,20
7.24,3
6.19,10
7.24,4
6.19,3
6.19,4
6.19,10
6.04,200
7.24,30
7.24,2
6.19,2
7.24,1
6.13,10
6.19,3
6.19,20
6.13,10
6.19,20
6.19,20
6.13,10
6.19,10
5.97,100
6.13,1
6.19,20
6.13,10
6.13,1
7.29,4
6.13,3
6.19,4
7.24,1
6.19,8
6.04,200
6.19,10
6.13,4
6.13,16
6.19,20
6.19,2
6.19,10
6.19,10
6.19,10
6.04,200
6.19,10
6.19,10
7.24,1
7.29,1
6.19,2
6.13,10
6.19,10
6.19,50
6.13,1
6.19,10
6.04,100
7.24,7
6.19,4
6.13,20
6.13,2
6.04,100
6.04,100
6.13,10
6.19,10
6.19,5
6.19,10
6.19,1
6.19,10
6.19,10
7.24,1
7.24,4
6.19,10
5.97,100
5.97,100
6.19,2
7.24,7
6.19,20
7.24,94
7.24,9
6.13,10
6.19,10
6.13,1
7.24,3
6.19,10
7.24,6
6.19,10
6.19,10
6.19,10
6.04,100
5.97,100
6.19,3
6.19,10
7.29,1
6.19,2
7.24,5
6.04,100
6.13,4
6.19,6
6.19,10
6.04,6
7.24,1
6.13,10
7.24,1
7.24,1
7.24,3
6.13,1
6.04,200
7.24,6
6.19,10
6.19,40
7.24,1
6.13,5
6.19,10
6.13,10
5.97,100
6.13,10
6.19,3
6.19,10
6.19,6
6.19,10
6.19,5
7.29,2
6.13,2
6.19,10
6.19,1
6.13,10
6.19,5
5.97,1200
6.19,10
6.19,10
6.19,2
7.29,3
6.19,10
7.24,2
6.13,10
6.19,10
6.19,10
6.19,30
6.19,10
6.19,10
6.19,1
6.19,10
6.19,10
7.24,4
6.19,2
7.24,1
6.19,2
7.24,4
6.19,1
6.19,10
6.13,1
6.13,10
6.19,12
6.19,10
7.24,6
6.19,20
6.19,10
